id,name,description,resource_type,resource_type_id,status,address_street1,address_street2,city,state,zipCode,latitude,longitude,timezone,website,phone,open_by_appointment,appointment_required,accepting_new_clients,usage_limit_count,usage_limit_interval,confidence,rating_average,review_count,subscription_count,regions_served,tags,has_shifts,has_occurrences,borough,poverty_rate,distance_to_nearest_pantry_miles,food_access_risk_raw,food_access_risk,risk_tier
ckyr3t43u33753ixtpad3qp79,ADDitude Magazine - Inside the ADHD Mind,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,108 West 39th Street,,New York,NY,10018,40.7530225,-73.9861561,America/New_York,,(646) 366-0830,False,False,True,,,0.35,,0,0,,,False,False,Manhattan,0.16,0.11,0.0176,0.0012,low
cmj03agtp06ud4vec0fp5du97,AIDS SERVICE CENTER OF LOWER MANHATTAN,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,64 West 35th Street,,New York,NY,10001,40.7500134,-73.9867344,America/New_York,,(212) 675-0875,False,False,True,,,0.78,,1,11,,,True,True,Manhattan,0.16,0.011,0.0018,0.0001,low
cmj03bwd603t6xcfk8zizsgz0,ALLIANCE CASA WASHINGTON HEIGHTS,"This food pantry is only available to registered clients and requires a Medicaid ID. The schedule is confirmed for every third Wednesday of the month from 10:00 a.m. to 3:00 p.m. I spoke only with the receptionist, and she was not able to confirm what type of food they provide.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2036 Amsterdam Avenue,,New York,NY,10032,40.8355038,-73.9410266,America/New_York,,(212) 645-0875,False,False,True,,,0.78,,1,9,,"ID required,Registration required",True,True,Manhattan,0.16,0.086,0.0138,0.001,low
cmdrndfcz00u86cko496c5ri6,ARTISTS ATHLETES ACTIVISTS INCORPORATED,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,110 Columbia Street,,New York,NY,10002,40.7187165,-73.9787413,America/New_York,,(347) 229-8399,False,False,True,,,0.76,2.0,1,5,,,True,True,Manhattan,0.16,0.089,0.0142,0.001,low
5,Abounding Grace Ministries,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,428 E 10th St,,New York,NY,10003,40.725115,-73.9763229,America/New_York,http://agminnyc.org,(212) 614-0370,False,False,True,,,0.45,,0,0,,,False,False,Manhattan,0.16,0.091,0.0146,0.001,low
ckz2hi3il2235913jy3zjrfyzy9,Advent Lutheran Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2504 Broadway,,New York,NY,10025,40.7927122,-73.97267219999999,America/New_York,https://www.adventnyc.org,(212) 665-2504,False,False,True,,,0.97,2.4782608695652173,37,121,,,True,True,Manhattan,0.16,0.077,0.0123,0.0009,low
43,African Services Committee,"Get referral from We Are Not Afraid Community Center at St. Mary's Episcopal Church

Enterance is 423 West",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,429 West 127th Street,,New York,NY,10027,40.813453,-73.9544556,America/New_York,http://www.africanservices.org/about-us/contact-asc,(212) 222-3882,False,False,True,,,0.87,2.2222222222222223,13,44,,"ID required,Must bring own bags/cart",True,True,Manhattan,0.16,0.062,0.0099,0.0007,low
cly5ddv0k01xq6f1m52f9040z,Afrikana Food Pantry,"Get Ticket early to receive food on Fridays Tickets starts at 11am and on Saturday and Sundays tickets start at 9am

On-site registration required",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,160 East 120th Street,,New York,NY,10035,40.8007729,-73.9393346,America/New_York,https://www.afri-kana.org/,(929) 227-5493,False,False,True,,,0.9,2.25,20,38,,"Other social services available,First come, first serve: open until food runs out,Registration required,Clothing may be available",True,True,Manhattan,0.16,0.069,0.011,0.0008,low
cm56ch3e50023w729reepjo1h,Alianza La Plaza  Food Pantry,New york state id required,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,556 West 182nd Street,,New York,NY,10033,40.8492937,-73.932278,America/New_York,https://cccsny.org/services/alianza-youth-employment,(646) 581-5606,False,False,True,,,0.89,2.5,5,25,,,True,True,Manhattan,0.16,0.063,0.0101,0.0007,low
138,All Saints Episcopal Church,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,230 E 60th St,,New York,NY,10022,40.7614449,-73.96503299999999,America/New_York,https://www.allsaintsnyc.org/,(212) 758-0447,False,False,True,,,0.81,,0,9,,,True,True,Manhattan,0.16,0.267,0.0427,0.003,low
48,Alliance for Positive Change,"- They mostly deal with people who are are in need of medical services i.e disabled, chronic diseases, HIV. To get signed up to their program one would need to enroll and this can be done by either walk ins or call ahead for the enrollment process",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,64 W 35th St,,New York,NY,10001,40.75017414607169,-73.98671861563096,America/New_York,https://alliance.nyc/basic-needs,(212) 645-0875,False,False,True,,,0.87,2.0,7,34,,"ID required,Proof of address required,Registration required",True,True,Manhattan,0.16,0.011,0.0018,0.0001,low
ckyzfee7x2397633o1d5vggpjdf,"Alms Chic, Inc.",,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,UNAVAILABLE,875 Amsterdam Avenue,,New York,NY,10025,40.79816659999999,-73.96695559999999,America/New_York,,(646) 422-7271,False,False,True,,,0.56,,0,1,,,False,False,Manhattan,0.16,0.132,0.0211,0.0015,low
ckys979ow180963zunrrqhhcmd,American Foundation for Suicide Prevention,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,199 Water Street,,New York,NY,10038,40.706914,-74.00444019999999,America/New_York,,(212) 363-3500,False,False,True,,,0.6,,0,0,,,False,False,Manhattan,0.16,0.165,0.0264,0.0019,low
133,American Indian Community House,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,39 Eldridge St,,New York,NY,10002,40.7157769,-73.99356999999999,America/New_York,https://aich.org/,(646) 575-3638,False,False,True,,,0.45,,0,0,,,False,False,Manhattan,0.16,0.05,0.008,0.0006,low
1541,Antioch Church of God in Christ Inc. - Outreach Ministries,"Lines are long, we recommend that they arrive early.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,41 West 124th Street,, New york,NY,10027,40.80658,-73.944221,America/New_York,,(917) 974-8261,False,False,True,1.0,WEEK,0.97,2.0,7,29,,"ID required,Must bring own bags/cart,Diapers/baby essentials may be available",True,True,Manhattan,0.16,0.089,0.0142,0.001,low
cm9hj7tqe0049y20wr1qy7h5k,Arc XVI Ft. Washington Senior Center,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,516 West 181st Street,,New York,NY,10033,40.8483916,-73.93217039999999,America/New_York,https://www.arcseniors.org/services/,(212) 781-5700,False,False,True,,,0.74,2.0,1,10,,Call in advance for services,True,True,Manhattan,0.16,0.061,0.0098,0.0007,low
clpxne9pc02757ct7divz6qyp,Art in the Park inc,"Check the social media for updates regarding schedule changes or location changes:
- [Facebook](https://www.facebook.com/artinthepark128)
- [Instagram](https://www.instagram.com/artinthepark128/)
- [Twitter or X](https://twitter.com/artinthepark128/)",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,E 128th St,between Lexington and 3rd Ave,New York,NY,10035,40.806297,-73.935814,America/New_York,WWW.ARTINTHEPARK128.ORG,(917) 456-4062,False,False,True,,,0.97,3.0,2,17,,"ID required,First come, first serve: open until food runs out,Schedule appointment through Plentiful app",True,True,Manhattan,0.16,0.145,0.0232,0.0016,low
1419,Ascension Outreach Food Pantry,"Accepting volunteers. Contact: info@ascension.org

On-site registration required",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,12 West 11th Street,,New York,NY,10011,40.734112,-73.995743,America/New_York,www.ascensionoutreach.org,(212) 254-8620,False,False,True,1.0,MONTH,0.95,2.0,1,20,,"ID required,Registration required",True,True,Manhattan,0.16,0.04,0.0064,0.0005,low
1359,Ascension R.C. Church Food Pantry,Advised to arrive around an hour early ,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,221 W 107 St.,,New York,NY,10025,40.801853,-73.966316,America/New_York,www.ascensionchurchnyc.org,(212) 222-0666,False,False,True,,,0.7,2.5833333333333335,15,84,,,True,True,Manhattan,0.16,0.147,0.0235,0.0017,low
cmixbwt63043h1cfqm5p7y8vx,"Asian Americans For Equality, Inc.","**no hrs

Mr. Thomas Yu",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,108 Norfolk Street,,New York,NY,10002,40.7189533,-73.9867865,America/New_York,,(646) 970-6805,False,False,True,,,0.53,,0,6,,,False,False,Manhattan,0.16,0.009,0.0014,0.0001,low
64,Asian Americans for Equality,"We launched three food pantries to provide fresh, culturally appropriate produce, meats and canned and packaged goods to residents in Chinatown, the Lower East Side and East Harlem, where the Asian American population is growing rapidly. The monthly pantries are powered by the AAFE Volunteer Program, including more than 100 dedicated New Yorkers committed to giving back to their communities. Food is sourced primarily from local small businesses. Community members must sign up for pantry distribu",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,111 Division Street,,New York,NY,10002,40.7143084,-73.99233199999999,America/New_York,https://www.aafe.org,(212) 979-8988,False,False,True,,,0.9,2.6666666666666665,5,22,,Registration required,True,True,Manhattan,0.16,0.117,0.0187,0.0013,low
93,"Asian Americans for Equality, Residential Pantry",,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,"108 Norfolk St, #1",,New York,NY,10002,40.71908747929604,-73.98680400220846,America/New_York,https://www.aafe.org,(646) 294-0485,False,False,True,,,0.66,,0,2,,,False,False,Manhattan,0.16,0.009,0.0014,0.0001,low
cmllwsfsh02d9xh29jk1mna99,BCAN PANTRY,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,3754 10th Ave,,New York,NY,10034,40.861641,-73.921402,America/New_York,https://www.bcommunityactionnetwork.org/,(347) 982-1484,False,False,True,,,0.45,,0,1,,,False,False,Manhattan,0.16,0.113,0.0181,0.0013,low
ckxi31ird003004vz8pa4mdce,BETHEL AME FOOD PANTRY,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,60 W 132nd St,,New York,NY,10037,40.811512,-73.941093,America/New_York,,(212) 862-0100,False,False,True,,,0.99,2.5,10,25,,,True,True,Manhattan,0.16,0.1,0.016,0.0011,low
cm572h4xj00wb0w0vl9spxvx8,BOOM! Health @ Middle Collegiate Church (Lower Eastside),,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,50 East 7th Street,,New York,NY,10003,40.72756649999999,-73.9876724,America/New_York,https://www.boomhealth.org/solutions/food-and-nutrition,(212) 477-0667,False,False,True,,,0.79,1.5,3,13,,,True,False,Manhattan,0.16,0.001,0.0002,0.0,low
109,BRC Homeless Senior Services,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,30 Delancey St,,New York,NY,10002,40.7203881,-73.9922313,America/New_York,https://www.brc.org/services-for-older-adults,(212) 533-2020,False,False,True,,,0.78,,0,1,,"ID required,Seniors only",True,True,Manhattan,0.16,0.053,0.0085,0.0006,low
clnnkymxp0193s50fhjhvqkb2,Barrio Fridge #2,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,UNAVAILABLE,314 East 106th Street,,New York,NY,10029,40.7899519,-73.9416682,America/New_York,@thebarriofridge,,False,False,True,,,0.74,,0,0,,,False,False,Manhattan,0.16,0.041,0.0066,0.0005,low
72,Beth Hark Christian Counseling Center - Food Pantry,Requires ID for adults and birth certificates for children in the household,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2 East 120th Street,,New York,NY,10035,40.8024719,-73.943756,America/New_York,https://www.bethharkccc.org/,(212) 860-1523,False,False,True,,,1.0,2.75,16,49,,"ID required,Proof of address required,Schedule appointment through Plentiful app",True,True,Manhattan,0.16,0.138,0.0221,0.0016,low
ckyy78ts1176063lz5d2i0o2ph,Bethel Holy Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,922 Saint Nicholas Avenue,,New York,NY,10032,40.8315344,-73.94082709999999,America/New_York,https://www.bethelholychurch.com,(646) 719-1391,False,False,True,,,0.87,2.0,5,44,,"First come, first serve: open until food runs out,Clothing may be available",True,True,Manhattan,0.16,0.074,0.0118,0.0008,low
140,Borough of Manhattan Community College - Food Pantry,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,199 Chambers St,,New York,NY,10007,40.7174546,-74.0122469,America/New_York,https://www.bmcc.cuny.edu/student-affairs/single-stop/panther-pantry/,(212) 220-8195,False,False,True,,,0.7,,0,1,,Students & staff only,True,False,Manhattan,0.16,0.276,0.0442,0.0031,low
cmm5wygog00k44b2yg997nj0s,"Bridging Communities and Culture Together, Inc.",,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,71 E 111th St,,New York,NY,10029,40.801754,-73.936699,America/New_York,https://ceo49932.wixsite.com/my-site,(347) 885-1687,False,False,True,,,0.45,,0,0,,,False,False,Manhattan,0.16,0.056,0.009,0.0006,low
ckyy9ektv359773lz5i4aluskn,Broadway Community Soup Kitchen,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,601 West 114th Street,,New York,NY,10025,40.80704180000001,-73.9651341,America/New_York,http://broadwaycommunity.org/,(212) 864-6100,False,False,True,,,0.74,2.6666666666666665,18,30,,"ID required,Other social services available",True,True,Manhattan,0.16,0.03,0.0048,0.0003,low
ckxexc1nt11450413aa66kn3n,Broome & Bowery Fridge,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,329 Broome Street,,New York,New York,10002,40.71910099999999,-73.9938676,America/New_York,https://www.instagram.com/broomeboweryfridge/,,False,False,True,,,0.69,,0,1,,,False,False,Manhattan,0.16,0.076,0.0122,0.0009,low
cmj03ny4l0mwd5agxjg9t7x89,CITY HARVEST Mobile Market - Washington Heights/Inwood,"Dyckman Street, between Nagle Avenue and 10th Avenue
Must be a Manhattan resident to receive food",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,47 Dyckman Street,,New York,NY,10034,40.8613784,-73.9246319,America/New_York,https://www.cityharvest.org/mobile-markets/,(646) 412-0740,False,False,True,,,0.79,2.3333333333333335,7,18,,"ID required,Must bring own bags/cart,First come, first serve: open until food runs out,Fresh produce",True,True,Manhattan,0.16,0.075,0.012,0.0008,low
1413,Cabrini Immigrant Services Food Pantry in collaboration with Church of the Good Shepherd,"* Pantry services are available to anyone who resides in New York City (all 5 boroughs) or Yonkers.

**The FAQs**
* How do I get food?
	* Registration happens on-site.  Bring an ID and proof of address until you receive a client card.  They only allow one person per household (address) to become a client at a time.  If you live with someone who is already a client, they will turn you away.

* Can someone deliver the food to my house?
	* Delivery services are only available for clients who live i",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,630 Isham Street,,New York,NY,10034,40.8695555,-73.92100959999999,America/New_York,,(212) 791-4590,False,False,True,2.0,MONTH,0.85,2.75,55,89,,"ID required,Fresh produce,Community services",True,True,Manhattan,0.16,0.152,0.0243,0.0017,low
cmixalobq0dtx5agxq0xwsisr,"Cabrini Immigrant Services of New York City, Inc.","**no hrs

Ms Ella Nimmo

",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,701 Fort Washington Avenue,,New York,NY,10040,40.8579122,-73.9356794,America/New_York,,(212) 791-4590,False,False,True,,,0.53,,0,0,,,False,False,Manhattan,0.16,0.264,0.0422,0.003,low
121,Canaan Baptist Church - Senior Center,,Other,OTHER,UNAVAILABLE,1428 5th Avenue,,New York,NY,10035,40.8013336,-73.9465117,America/New_York,http://www.canaanbaptistcoc.org/,(212) 876-2638,False,False,True,,,0.79,,0,0,,Seniors only,True,False,Manhattan,0.16,0.121,0.0194,0.0014,low
ckyy9l9kz361923lz5ntzhtv93,Cathedral Kitchen – St. John the Divine,"* The **Food Stamp Program** provides pre-screening for clients interested in receiving Food Stamps, and recertification for those already enrolled. CCC partners with trained, professional staff from the New York City Coalition Against Hunger and the Food Bank for New York City to offer this service. Please call (212) 316-7583 to set up an appointment. Appointments are available on Tuesdays and Wednesdays.

* If you are interested in volunteering with the Sunday Soup Kitchen, please go to newyor",Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,1047 Amsterdam Avenue,,New York,NY,10025,40.8038206,-73.9618358,America/New_York,https://www.stjohndivine.org/,(212) 316-7583,False,False,True,,,0.99,2.5238095238095237,24,34,,"Clothing may be available,Community services",True,True,Manhattan,0.16,0.065,0.0104,0.0007,low
cmli6ow9d029nwdfp4bv0m6tc,Catholic Charities Community Services of New York,,Meal delivery,MEAL_DELIVERY,PUBLISHED,80 Maiden Lane,,New York,NY,10038,40.7072904,-74.007554,America/New_York,https://cccsny.org,(646) 794-2065,False,False,True,,,0.54,,0,0,,Community services,False,False,Manhattan,0.16,0.078,0.0125,0.0009,low
cmixap1g30e191jeekbtsl25h,"Catholic Charities Community Services, Archdiocese of New York","**no hrs

Ms Beatriz Diaz Taveras",Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,1011 1st Avenue,,New York,NY,10022,40.7573856,-73.963599,America/New_York,,(646) 794-2438,False,False,True,,,0.9,,0,19,,,False,False,Manhattan,0.16,0.29,0.0464,0.0033,low
1453,Catholic Charities Washington Heights Food Pantry ,"- Line starts forming at around 8:30 please be sure to arrive early.
-",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,665 West 182nd Street,,New York,NY,10033,40.8508211,-73.9350189,America/New_York,https://www.catholiccharitiesnyvolunteer.org/opportunity/a0C6T000013X0BNUA0/2022-cccs-washington-heights-food-pantry,(646) 630-2390,False,False,True,,,0.4,2.4642857142857144,40,135,,"ID required,First come, first serve: open until food runs out",True,True,Manhattan,0.16,0.069,0.011,0.0008,low
1421,Catholic Charities-Kennedy Center Central Harlem Pantry,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,34 West 134th street ,1st floor,New York ,NY,10037,40.812733,-73.939896,America/New_York,https://cccsny.org/services/neighborhood-centers-lt-joseph-p-kennedy-jr-community-center-central-harlem,(212) 862-6401,False,False,True,1.0,MONTH,1.0,2.4,13,57,,ID required,True,True,Manhattan,0.16,0.105,0.0168,0.0012,low
ckyzq90uj3118093o1dh5dp8fw8,Center for Urban Community Services,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,UNAVAILABLE,198 East 121st Street,,New York,NY,10035,40.8010976,-73.9380946,America/New_York,https://www.cucs.org/get-help/,(212) 801-3300,False,False,True,,,0.68,,0,12,,ID required,True,False,Manhattan,0.16,0.069,0.011,0.0008,low
ckyzn6x1a2906913o1dlbq9zntp,Central Synagogue,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,652 Lexington Avenue,,New York,NY,10022,40.7596051,-73.97054299999999,America/New_York,,(212) 838-5122,False,False,True,,,0.68,2.0,1,2,,,True,True,Manhattan,0.16,0.032,0.0051,0.0004,low
57,Central Synogogue Breakfast Program,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,123 E 55th St,,New York,NY,10022,40.7600669,-73.97054299999999,America/New_York,https://www.centralsynagogue.org/,(212) 838-5122,False,False,True,,,0.5,,0,0,,,True,False,Manhattan,0.16,0.032,0.0051,0.0004,low
1023,Centro Evangelistico MMM Inc Community Food Pantry Program,* Needs volunteers,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,148 Post Ave,,New York,NY,10034,40.8653582,-73.91905109999999,America/New_York,https://foodpantry.business.site,(646) 545-7696,False,False,True,,,0.89,2.473684210526316,26,73,,ID required,True,True,Manhattan,0.16,0.081,0.013,0.0009,low
cmixaqsaa0e1k1jeedd3f9ejr,"Chai Lifeline, Inc.","**no hrs

Ms Leah Bloch",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,151 West 30th Street,,New York,NY,10001,40.7483603,-73.99186739999999,America/New_York,,(212) 699-6608,False,False,True,,,0.53,,0,9,,,False,False,Manhattan,0.16,0.074,0.0118,0.0008,low
178,Chambers Memorial Baptist Church/Love Offering,"Every Tuesday Registration
12pm to 1pm",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,219 E 123rd St,,New York,NY,10035,40.8022648,-73.9358673,America/New_York,http://www.chambersmemorialbc.org/,(347) 600-9820,False,False,True,,,0.52,2.0,10,27,,"ID required,Registration required",True,True,Manhattan,0.16,0.021,0.0034,0.0002,low
ckxexc1o2122704136q1qao99,Chapati Man Volunteer Pantry (Upper Manhattan Mutual Aid),,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,2006 2nd Avenue,,New York,New York,10029,40.7888768,-73.9433988,America/New_York,https://docs.google.com/spreadsheets/d/1uXYQuT_RYUhquk-99V9jgDv7j12z2dn3T1EJtXy89Ro/edit#gid=1240679112,(718) 679-4012,False,False,True,,,0.35,,0,0,,,False,False,Manhattan,0.16,0.117,0.0187,0.0013,low
ckyzlwld42859123o1d2ocdyavp,Chelsea Community Fridge & Cupboard,Extension 211. ,Community fridge,COMMUNITY_FRIDGE,PUBLISHED,46 West 16th Street,Hurtado Hall (Basement),New York,NY,10011,40.7379747,-73.9953532,America/New_York,https://www.instagram.com/thechelseafridge/,(212) 627-2100,False,False,True,,,0.96,2.0,3,24,,"ID required,Call in advance for services,Registration required",True,True,Manhattan,0.16,0.011,0.0018,0.0001,low
194,Chilis on Wheels,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,125th St & Park Ave,,New York,NY,10035,40.8050123,-73.9389017,America/New_York,http://www.chilisonwheels.org,(303) 618-0528,False,False,True,,,0.81,2.0,5,23,,"First come, first serve: open until food runs out",True,True,Manhattan,0.16,0.083,0.0133,0.0009,low
clnnnixf301iss50f5dhguy9m,Chinatown Community Fridge & Pantry,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,96 Baxter Street,,New York,NY,10013,40.7171701,-73.9997547,America/New_York,https://www.instagram.com/chinatown.communityfridge/?hl=en,,False,False,True,,,0.74,,0,4,,,True,True,Manhattan,0.16,0.057,0.0091,0.0006,low
cmixas9650dv25agx44sbw880,"Chinese American Planning Council, Inc.","**no hrs

Mr. Carlyn Cowen",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,150 Elizabeth Street,,New York,NY,10012,40.7203139,-73.9950057,America/New_York,,(212) 941-0920,False,False,True,,,0.53,,0,5,,,False,False,Manhattan,0.16,0.103,0.0165,0.0012,low
245,Christ Church United Methodist,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,524 Park Avenue,,New York,NY,10065,40.7638946,-73.96964849999999,America/New_York,https://www.christchurchnyc.online,(212) 838-3036,False,False,True,,,0.84,,0,4,,Toiletries may be available,True,True,Manhattan,0.16,0.228,0.0365,0.0026,low
249,Christ Temple of the Apostolic Faith,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,13 W 128th St,,New York,NY,10027,40.8090218,-73.9414723,America/New_York,https://www.ctafnyc.org/,(212) 534-4200,False,False,True,,,0.45,,0,0,,,False,False,Manhattan,0.16,0.019,0.003,0.0002,low
273,Christ and St. Stephen's Church - Brown Bag Program,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,120 W 69th St,,New York,NY,10023,40.7757285,-73.9810512,America/New_York,https://www.csschurch.org/ministry-life/worship/,(212) 787-2755,False,False,True,,,0.79,2.5,12,40,,,True,True,Manhattan,0.16,0.101,0.0162,0.0011,low
197,Church of Notre Dame,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,405 W 114th St,,New York,NY,10025,40.805083,-73.960405,America/New_York,https://ndparish.org/,(212) 866-1500,False,False,True,,,0.71,,0,1,,Must bring own bags/cart,True,False,Manhattan,0.16,0.115,0.0184,0.0013,low
